Title,Date,Lead
36 remaja 'pesta lalok' dalam bilik hotel,4 September 2016 - 6:12 PM,"KUALA LUMPUR: Keasyikan 36 remaja untuk berpesta dalam bilik sebuah hotel di Jalan Kasipillay, Sentul, di sini, awal pagi tadi, terbantut, ekoran serbuan mengejut Polis Daerah Sentul, selepas menerima aduan orang awam.
"
"Ganja 11 kg dirampas, OKU jadi dalang",26 Ogos 2016 - 3:24 PM,"KAJANG: Polis menahan tiga sekeluarga dan merampas lebih 11 kilogram (kg) ganja bernilai RM22,000 dalam serbuan di Pangsapuri Seri Mewah, Isnin lalu.
"
Polis Putrajaya tahan 15 anggota kumpulan curi kereta,17 Ogos 2016 - 3:46 PM,"PUTRAJAYA: Polis berjaya menyelesaikan 11 kes curi kenderaan sekitar Putrajaya, Lembah Klang dan Kelantan sejak enam tahun lalu dengan tertangkapnya 15 suspek termasuk empat wanita daripada dua kumpulan.
"
"Kilang diserbu mampu hasil ketamin untuk 897,000 penagih",6 Ogos 2016 - 2:34 PM,"JOHOR BAHRU: Operasi kilang memproses dadah dipercayai ketamin yang dibongkar polis, Rabu lalu, boleh menampung permintaan untuk 897,000 penagih.
"
"Guna pistol tiruan untuk samun, curi kenderaan",28 Julai 2016 - 6:25 PM,"SHAH ALAM: Tiga pemuda ditahan malam semalam kerana memiliki pistol tiruan, selain dipercayai terbabit dalam kes samun kedai serbaneka dan stesen minyak di bandar raya ini.
"
14 zon paling kronik dadah di seluruh negara,14 Julai 2016 - 12:50 AM,"KUALA LUMPUR: Agensi Antidadah Kebangsaan (AADK) menyenaraikan 14 zon sebagai kawasan berdepan masalah penagihan dan pengedaran dadah paling kronik di seluruh negara.
"
300 peserta jayakan konvoi jelajah sahur,2 Julai 2016 - 8:11 AM,"KOTA BHARU: Seramai 300 peserta membabitkan ahli kelab permotoran, menjayakan program Konvoi Amal Malam 1000 Bulan anjuran Majlis Belia Kelantan (MBK).
"
7 mayat tanpa kepala ditemui di Mexico,18 Jun 2016 - 10:54 AM,"MEXICO CITY: Sejumlah tujuh mayat lelaki tanpa kepala ditemui di Sinaloa di barat Mexico, berhampiran rumah lama Raja Dadah, Joaquin ""El Chapo"" Guzman yang kini dipenjara, kata seorang pegawai penguat kuasa undang-undang negeri.
"
Presiden Filipina galak orang awam bunuh pengedar dadah,5 Jun 2016 - 5:25 PM,"MANILA: Presiden Filipina yang dipilih menggalakkan orang awam membantunya memerangi jenayah dan menggesa rakyat yang memiliki senjata api untuk menembak dan membunuh pengedar dadah yang menentang tangkapan polis di kejiranan mereka.
"
Dadah: Polis Australia tahan 6 rakyat Malaysia,27 Mei 2016 - 4:32 PM,"SYDNEY: Polis Australia menahan 14 orang, enam rakyat Malaysia dan lapan warga China, berkaitan pengimportan 200 kilogram pil khayal ke negara itu.
"
