"Suami isteri ditahan, disyaki edar dadah di Kuantan",15 Oktober 2015 - 2:30 PM,"KUANTAN: Polis menahan sepasang suami isteri yang disyaki hidup mewah dengan kegiatan mengedar dadah di sekitar daerah ini, dalam satu serbuan di sebuah rumah di Perkampungan Pandan Jaya, dekat sini, kelmarin.
"
Mayat ditemui dalam longkang dekat Pasar Borong KL,22 September 2015 - 1:45 PM,"KUALA LUMPUR: Mayat seorang lelaki ditemui di dalam longkang di tepi Jalan Ipoh, di Batu 6 1/2 berhampiran jalan susur keluar ke Pasar Borong Kuala Lumpur, malam tadi.
"
STING rampas cecair syabu RM20j dihasilkan pakar kimia Iran,23 Ogos 2015 - 12:56 PM,"GEORGETOWN: Pasukan Khas Taktikal dan Risikan Narkotik (STING) melumpuhkan sindiket memproses dadah yang beroperasi menggunakan khidmat pakar kimia warga Iran.
"
"3 ditahan, 15kg dadah dirampas di Butterworth",31 Julai 2015 - 5:39 PM,"BUTTERWORTH: Lebih 15 kilogram (kg) heroin dan syabu dirampas sementara tiga lelaki ditahan dalam serbuan Pasukan Khas Tektikal Perisikan Narkotik (STING) di sebuah rumah di sini malam tadi.
"
"Sindiket Erimin 5 tumpas, 137kg dadah dirampas",13 Julai 2015 - 11:21 PM,"KUALA LUMPUR: Polis menumpaskan sindiket pengedaran dadah pil Erimin 5 susulan dua serbuan berasingan di Lembah Klang, petang tadi.
"
Eksploitasi al-Quran perdaya wanita,5 Jun 2015 - 12:02 AM,"KUALA LUMPUR: Kumpulan militan Negara Islam (IS) dikesan mengeksploitasi ayat Al-Quran dan hadis bagi memperdaya wanita dari negara ini khususnya mahasiswi untuk berkahwin serta berjihad di negara bergolak.
"
"Polis tahan suri rumah, 49 paket syabu dirampas",15 Mei 2015 - 2:23 PM,"ALOR SETAR: Polis menahan seorang suri rumah serta merampas 49 paket dadah jenis syabu bernilai RM2,520 dalam serbuan di Bukit Tinggi, Jitra.
"
Wanita positif HIV tekad tebus kesilapan,20 April 2015 - 12:02 AM,"TERJERUMUS dalam kancah penagihan dadah ketika usia remaja dan lumpuh separuh badan akibat kemalangan, beliau bagaikan dijatuhi 'hukuman mati' apabila kemudian disahkan positif HIV.
"
ESSZONE: Perintah berkurung dilanjut sehingga 29 Mac,14 Mac 2015 - 3:40 PM,"KOTA KINABALU:  Tempoh perintah berkurung fasa ke-15 di kawasan perairan Zon Selamat Timur Sabah (ESSZONE) yang berakhir hari ini, dilanjutkan sehingga 29 Mac dari pukul 7 malam hingga 5 pagi.
"
"Polis tahan seorang suspek tembak ibu, anak di Bukit Mertajam",25 Februari 2015 - 1:57 PM,"GEORGETOWN: Seorang lelaki yang disyaki terbabit dalam kejadian menembak dua beranak di persimpangan lampu isyarat Jalan Song Ban Keng, Bukit Mertajam dekat sini semalam, ditahan tengah malam tadi.
"
7 anggota geng curi kenderaan ditahan,4 Februari 2015 - 4:19 PM,"KEPALA BATAS: Polis menumpaskan geng curi kenderaan yang aktif di daerah Seberang Perai Utara (SPU) di sini, apabila menahan tujuh orang termasuk sepasang suami isteri dalam operasi di Sungai Petani, Kedah, semalam.
"
"13 cubaan seludup, edar daun dan air ketum di Kedah tumpas",10 Januari 2015 - 1:05 PM,"ALOR SETAR: Polis Kedah menumpaskan 13 cubaan mengedar dan menyeludup 110.7 kilogram (kg) daun ketum dan 116.2 liter air ketum melalui Ops Tapis Khas yang diadakan pada Rabu dan Khamis lalu di sekitar Ayer Hitam, Kodiang dan Changloon.
"
"Polis tumpas kumpulan curi kereta, tahan tiga lelaki ",7 Disember 2014 - 4:55 PM,"KOTA TINGGI: Polis percaya dapat menumpaskan satu kumpulan curi kereta berikutan penahanan tiga lelaki dalam serbuan di sebuah bengkel membaiki kenderaan di Kampung Temenin Lama, di sini, awal bulan ini.
"
"Polis tahan lelaki, rampas dadah bernilai RM100,000 ",14 November 2014 - 2:39 PM,"NIBONG TEBAL: Polis menahan seorang lelaki dan merampas pelbagai dadah bernilai RM100,000 dalam serbuan di sebuah rumah di Kampung Sanglang di sini, Rabu lalu.
"
Polis Perak sahkan pegawai penyiasat ditahan kerana miliki syabu ,16 Oktober 2014 - 11:48 AM,"IPOH: Polis Perak mengesahkan seorang Pegawai Penyiasat Bahagian Siasatan Jenayah Narkotik Ibu Pejabat Polis Daerah (IPD) Ipoh ditahan di Pulau Pinang semalam kerana memiliki sejumlah dadah jenis syabu.
"
"Lebih 40,000 samseng sertai 72 pertubuhan haram sedang dikesan - Bukit Aman  ",22 September 2014 - 12:32 PM,
11 anggota PPS ada pelbagai rekod jenayah - Ketua Polis PP,1 September 2014 - 4:24 PM,"GEORGETOWN: Seramai 11 anggota Pasukan Peronda Sukarela (PPS) yang direman mempunyai pelbagai rekod jenayah.
"
